,emptyNet,x,y,isGoal,distanceToNet,relativeAngleToNet,season
4,0,-49.0,-34.0,0,53.2634959423431,-39.66784111834045,2019
4,0,-42.0,-34.0,0,58.82176467941097,-35.3112134396332,2019
4,0,-63.0,21.0,0,34.20526275297414,37.874983651098205,2019
4,0,-47.0,-3.0,0,43.104524124504614,-3.9909130984297803,2019
4,0,-62.0,-22.0,0,35.608987629529715,-38.15722658736906,2019
4,0,-39.0,-38.0,0,63.60031446463138,-36.68972283247581,2019
4,0,-54.0,22.0,0,42.190046219457976,31.429565614838516,2019
4,0,-1.0,27.0,0,93.00537618869137,16.87626461671119,2019
4,0,59.0,22.0,0,38.01315561749642,8.399094647852461,2019
4,0,-7.0,-27.0,0,87.28115489611719,-18.019769281777148,2019
4,0,66.0,24.0,0,33.94112549695428,8.74616226255521,2019
4,0,58.0,25.0,0,40.607881008493905,9.587833024818645,2019
4,0,-85.0,6.0,0,7.810249675906654,50.19442890773481,2019
4,0,71.0,26.0,0,32.202484376209235,9.173535442281915,2019
4,0,82.0,5.0,0,9.433981132056603,1.6651060581036772,2019
4,0,45.0,32.0,0,55.21775076911409,13.335106341045911,2019
4,0,-61.0,-32.0,0,43.18564576337837,-47.81555668421123,2019
4,0,32.0,11.0,0,59.033888572581766,5.152081702206227,2019
4,0,77.0,3.0,1,13.341664064126334,1.0291548043059813,2019
4,0,76.0,11.0,0,17.804493814764857,3.791165687365224,2019
4,0,67.0,-7.0,0,24.041630560342615,-2.5528981471717573,2019
4,0,-70.0,14.0,0,24.413111231467404,34.99202019855866,2019
4,0,46.0,7.0,0,44.553338819890925,2.946447380012329,2019
4,0,28.0,-22.0,0,65.7875368135941,-10.561010691196383,2019
4,0,68.0,-21.0,0,30.4138126514911,-7.570888900834287,2019
4,0,70.0,-32.0,0,37.73592452822641,-11.309932474020213,2019
4,0,62.0,35.0,0,44.82186966202994,12.967083983121265,2019
4,0,32.0,-20.0,0,61.35144660071187,-9.309940174986037,2019
4,0,-57.0,-41.0,0,52.630789467763066,-51.170175095029606,2019
4,0,-37.0,2.0,0,53.03772242470448,2.1610794882263713,2019
4,0,-68.0,24.0,0,32.55764119219941,47.48955292199916,2019
4,0,-35.0,6.0,0,55.326304774492215,6.225829064425769,2019
4,0,-32.0,-11.0,1,59.033888572581766,-10.738897100905442,2019
4,0,50.0,36.0,0,53.81449618829484,14.420773127510985,2019
4,0,28.0,36.0,0,71.69379331573968,16.96614810853619,2019
4,0,79.0,-23.0,0,25.495097567963924,-7.750036422919295,2019
